OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
96d17a74785409fefb031199be0482ae	Bacteria	 Proteobacteria	 Gammaproteobacteria				
9a379007463042a5594cbaf10b00e7b6	Bacteria	 Acidobacteriota	 Blastocatellia	 Blastocatellales	 Blastocatellaceae	 uncultured	 uncultured_bacterium
f37fc1dccfeba0004cbeb4f1ad6083c6	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Oxalobacteraceae	 Duganella	
28ec4537e4721e372d85f3724ae535d6	Bacteria	 Myxococcota	 Polyangia	 Polyangiales	 Polyangiaceae	 Pajaroellobacter	
45708d852494fff89052fef04471c252	Bacteria	 Bacteroidota	 Bacteroidia	 Cytophagales	 Spirosomaceae	 Spirosoma	
7cc0e7ff1bf8908728ffb30dc171f655	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae		
80e79d9858cf8bff95f69ea82b237061	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	 Acetobacteraceae	 Gluconobacter	
8aebd281f414da8d250ae88622cb292a	Eukaryota	 Basidiomycota	 Cystobasidiomycetes	 Incertae_Sedis	 Incertae_Sedis	 Buckleyzyma	 Buckleyzyma_aurantiaca
9a30a9e05bda060942b49c8b7112d00e	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	
bd662f911204efc40160f60457f77744	Bacteria	 Acidobacteriota	 Vicinamibacteria	 Vicinamibacterales	 uncultured	 uncultured	
d0e75f76911e5d6f05f2c77cefae027f	Bacteria						
d15bd1dcb9de71d7452648673a59f5b8	Bacteria	 Bacteroidota	 Bacteroidia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	
d54df118afbb4a7d365c96d7bef5f056	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae		
